,method,sum,tp_sum,P@5,P@10,P@15,P@20,P@25,P@30,P@35,P@40,P@45,P@50,MAP,MRR,Fitness,Kendell,AUC
0,we_list_0,148,12,80.0,80.0,66.66666666666666,50.0,40.0,33.33333333333333,28.57142857142857,25.0,22.22222222222222,20.0,0.7012130903921947,2.6299855340900122,0.2912885446422032,0.02399338113623828,0.8122184684684686
1,we_list_1,148,12,100.0,90.0,73.33333333333333,55.00000000000001,44.0,36.666666666666664,31.428571428571427,27.500000000000004,24.444444444444443,22.0,0.8699938949938949,2.9636446886446888,0.3599671705603912,0.011674940246368818,0.8876689189189189
2,we_list_2,148,12,100.0,90.0,73.33333333333333,55.00000000000001,44.0,36.666666666666664,31.428571428571427,27.500000000000004,24.444444444444443,22.0,0.8697089947089945,2.9633597883597886,0.3543342122610419,0.012134583563154992,0.8848536036036035
3,we_list_3,148,12,100.0,90.0,73.33333333333333,55.00000000000001,44.0,36.666666666666664,31.428571428571427,27.500000000000004,24.444444444444443,22.0,0.8752837032248797,2.9698502477914244,0.3732613454576073,0.010571796286082,0.8944256756756757
4,we_list_4,148,12,100.0,90.0,73.33333333333333,55.00000000000001,44.0,36.666666666666664,31.428571428571427,27.500000000000004,24.444444444444443,22.0,0.873729656948835,2.9682962015153795,0.34284321635067966,0.01305387019672734,0.8792229729729729
5,we_list_5,148,12,100.0,90.0,66.66666666666666,55.00000000000001,44.0,36.666666666666664,31.428571428571427,27.500000000000004,24.444444444444443,22.0,0.8707532051282052,2.9649725274725274,0.3599671705603912,0.011674940246368818,0.8876689189189189
6,we_list_6,148,12,100.0,90.0,66.66666666666666,50.0,44.0,36.666666666666664,31.428571428571427,27.500000000000004,24.444444444444443,22.0,0.8567129629629631,2.95026455026455,0.3504620708889005,0.012778084206655634,0.8809121621621622
7,we_list_7,148,12,100.0,90.0,66.66666666666666,50.0,44.0,36.666666666666664,31.428571428571427,27.500000000000004,24.444444444444443,22.0,0.8640220482132247,2.9588362617774377,0.3722045194007812,0.011215296929582645,0.8904842342342342
8,we_list_8,148,12,100.0,90.0,66.66666666666666,50.0,44.0,36.666666666666664,31.428571428571427,27.500000000000004,24.444444444444443,22.0,0.86246800193718,2.957282215501393,0.34178639029385355,0.013697370840227983,0.8752815315315314
9,we_list_9,148,12,100.0,90.0,66.66666666666666,50.0,40.0,33.33333333333333,31.428571428571427,27.500000000000004,24.444444444444443,22.0,0.8483733112765371,2.9411408483989128,0.3519716750648956,0.012961941533370106,0.879786036036036
10,we_list_10,148,12,100.0,90.0,66.66666666666666,50.0,40.0,33.33333333333333,31.428571428571427,27.500000000000004,24.444444444444443,22.0,0.8501558048433049,2.9445487382987383,0.3411424490692786,0.013513513513513513,0.8764076576576576
