,method,sum,tp_sum,P@5,P@10,P@15,P@20,P@25,P@30,P@35,P@40,P@45,P@50,MAP,MRR,Fitness,Kendell,AUC
0,we_list_0,160,5,80.0,40.0,33.33333333333333,25.0,20.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0,0.8833333333333334,2.1666666666666665,0.4904761904761905,0.000550314465408805,0.9749999999999999
1,we_list_1,160,5,80.0,40.0,26.666666666666668,20.0,20.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0,0.8400000000000001,2.123333333333333,0.4763541666666667,0.0015723270440251573,0.95875
2,we_list_2,160,5,80.0,40.0,26.666666666666668,20.0,16.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0,0.837037037037037,2.1203703703703702,0.47424242424242424,0.001729559748427673,0.9562499999999999
3,we_list_3,160,5,60.0,40.0,26.666666666666668,20.0,16.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0,0.717037037037037,1.9703703703703703,0.46903409090909093,0.00220125786163522,0.94875
4,we_list_4,160,5,60.0,30.0,26.666666666666668,20.0,16.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0,0.7037037037037037,1.9537037037037035,0.4677320075757576,0.0023584905660377358,0.9462499999999999
5,we_list_5,160,5,60.0,30.0,26.666666666666668,20.0,16.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0,0.6985754985754985,1.947293447293447,0.4671243686868687,0.0024371069182389936,0.945
6,we_list_6,160,5,60.0,30.0,26.666666666666668,20.0,16.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0,0.6904761904761905,1.938095238095238,0.463375,0.002751572327044025,0.94
7,we_list_7,160,5,60.0,30.0,20.0,20.0,16.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0,0.6833333333333333,1.9291666666666667,0.46222916666666664,0.002908805031446541,0.9375
8,we_list_8,160,5,60.0,30.0,20.0,20.0,16.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0,0.6803921568627451,1.9254901960784314,0.4616682692307692,0.0029874213836477985,0.9362499999999999
9,we_list_9,160,5,60.0,30.0,20.0,20.0,16.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0,0.6777777777777778,1.9222222222222223,0.4611130952380952,0.0030660377358490564,0.9349999999999999
10,we_list_10,160,5,40.0,30.0,20.0,20.0,16.0,16.666666666666664,14.285714285714285,12.5,11.11111111111111,10.0,0.30333333333333334,0.7000000000000001,0.4548816964285714,0.003930817610062893,0.921875
