priority1,priority2,type,package_name,field_name,method_name,startline,endline,label,s1,s2,s3,s4,addr,_package,_class,_method,rank_score,s4_rank
M,P,DM_NUMBER_CTOR,org.apache.commons.lang.mutable.MutableInt,NO_FIELD,toInteger()Ljava/lang/Integer;,237,237,1,0.0,1.0,0.8228529651718889,0.9999999999999998,Bx,org.apache.commons.lang.mutable,org.apache.commons.lang.mutable.MutableInt,org.apache.commons.lang.mutable.MutableInt.toInteger,0.3778059941667505,0.37780599416675037
M,P,DM_NUMBER_CTOR,org.apache.commons.lang.mutable.MutableShort,NO_FIELD,toShort()Ljava/lang/Short;,245,245,1,0.0,1.0,0.8103068590599561,0.9999999999999998,Bx,org.apache.commons.lang.mutable,org.apache.commons.lang.mutable.MutableShort,org.apache.commons.lang.mutable.MutableShort.toShort,0.3778059941667505,0.37780599416675037
M,P,DM_NUMBER_CTOR,org.apache.commons.lang.mutable.MutableLong,NO_FIELD,toLong()Ljava/lang/Long;,235,235,1,0.0,1.0,0.7840028401622181,0.9999999999999998,Bx,org.apache.commons.lang.mutable,org.apache.commons.lang.mutable.MutableLong,org.apache.commons.lang.mutable.MutableLong.toLong,0.3778059941667505,0.37780599416675037
M,P,DM_NUMBER_CTOR,org.apache.commons.lang.mutable.MutableLong,NO_FIELD,getValue()Ljava/lang/Long;,89,89,0,0.0,1.0,0.8153578535437319,1.0,Bx,org.apache.commons.lang.mutable,org.apache.commons.lang.mutable.MutableLong,org.apache.commons.lang.mutable.MutableLong.getValue,0.12780599416675048,0.12780599416675048
M,P,DM_NUMBER_CTOR,org.apache.commons.lang.mutable.MutableShort,NO_FIELD,getValue()Ljava/lang/Short;,89,89,0,0.0,1.0,0.8248751327822511,1.0,Bx,org.apache.commons.lang.mutable,org.apache.commons.lang.mutable.MutableShort,org.apache.commons.lang.mutable.MutableShort.getValue,0.12780599416675048,0.12780599416675048
M,P,DM_NUMBER_CTOR,org.apache.commons.lang.mutable.MutableInt,NO_FIELD,getValue()Ljava/lang/Integer;,89,89,0,0.0,1.0,0.8345921050228533,1.0,Bx,org.apache.commons.lang.mutable,org.apache.commons.lang.mutable.MutableInt,org.apache.commons.lang.mutable.MutableInt.getValue,0.12780599416675048,0.12780599416675048
M,P,DM_NUMBER_CTOR,org.apache.commons.lang.math.LongRange,NO_FIELD,getMinimumNumber()Ljava/lang/Number;,167,167,0,0.0,0.0,0.4703400539165699,0.5815202151904569,Bx,org.apache.commons.lang.math,org.apache.commons.lang.math.LongRange,org.apache.commons.lang.math.LongRange.getMinimumNumber,0.17683731985694254,0.10283447629691289
M,P,DM_NUMBER_CTOR,org.apache.commons.lang.math.LongRange,NO_FIELD,getMaximumNumber()Ljava/lang/Number;,226,226,0,0.0,0.0,0.4703400539165699,0.5815202151904569,Bx,org.apache.commons.lang.math,org.apache.commons.lang.math.LongRange,org.apache.commons.lang.math.LongRange.getMaximumNumber,0.17683731985694254,0.10283447629691289
M,B,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,org.apache.commons.lang.time.StopWatch,NO_FIELD,getNanoTime()J,283,290,0,0.0,1.0,0.9945788321565764,1.0,THROWS,org.apache.commons.lang.time,org.apache.commons.lang.time.StopWatch,org.apache.commons.lang.time.StopWatch.getNanoTime,0.09578732106339469,0.09578732106339469
M,V,EI_EXPOSE_REP,org.apache.commons.lang.builder.ToStringBuilder,buffer,getStringBuffer()Ljava/lang/StringBuffer;,1028,1028,0,0.0,1.0,0.9030953733551176,1.0,EI,org.apache.commons.lang.builder,org.apache.commons.lang.builder.ToStringBuilder,org.apache.commons.lang.builder.ToStringBuilder.getStringBuffer,0.07004299507190989,0.07004299507190989
