,method,sum,tp_sum,P@5,P@10,P@15,P@20,P@25,P@30,P@35,P@40,P@45,P@50,MAP,MRR,Fitness,Kendell,AUC
0,random0,160,5,0.0,0.0,0.0,0.0,4.0,3.3333333333333335,2.857142857142857,2.5,2.2222222222222223,2.0,0.03253846270052575,0.08182940903263847,0.22172299197249198,0.037893081761006295,0.381875
1,random1,160,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.2222222222222223,2.0,0.03470762386013341,0.07360232947057728,0.25211279930928326,0.03191823899371069,0.47687500000000005
2,random2,160,5,0.0,0.0,0.0,0.0,0.0,0.0,2.857142857142857,5.0,4.444444444444445,4.0,0.03827771105025135,0.08708147656955939,0.23881110729548202,0.0315251572327044,0.483125
3,random3,160,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02840802639982968,0.05681552054502874,0.2139811009039616,0.03867924528301887,0.369375
4,random4,160,5,0.0,10.0,6.666666666666667,5.0,4.0,3.3333333333333335,5.714285714285714,5.0,4.444444444444445,4.0,0.06728892023009671,0.2249090778502543,0.2737012223073675,0.02759433962264151,0.545625
5,random5,160,5,20.0,10.0,6.666666666666667,5.0,4.0,3.3333333333333335,5.714285714285714,5.0,4.444444444444445,4.0,0.2420892319646711,1.0693200656471176,0.32504159904497165,0.020361635220125785,0.6600000000000001
6,random6,160,5,20.0,10.0,6.666666666666667,10.0,8.0,6.666666666666667,5.714285714285714,5.0,4.444444444444445,4.0,0.08316827373777956,0.2832914825231016,0.24882934663698672,0.02822327044025157,0.535625
7,random7,160,5,0.0,10.0,6.666666666666667,5.0,4.0,3.3333333333333335,2.857142857142857,2.5,2.2222222222222223,2.0,0.05076743957991209,0.17863389413274772,0.19371231033482914,0.03962264150943396,0.354375
8,random8,160,5,0.0,0.0,0.0,5.0,4.0,6.666666666666667,5.714285714285714,5.0,4.444444444444445,4.0,0.05023637737923452,0.12465814608671752,0.27527603736294487,0.025943396226415096,0.571875
9,random9,160,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030115503719788383,0.05603779110981771,0.24943781478937704,0.035770440251572326,0.4156250000000001
