priority1,priority2,type,package_name,field_name,method_name,startline,endline,label,s1,s2,s3,s4,addr,_package,_class,_method,rank_score,s4_rank
M,V,MS_EXPOSE_REP,org.jmeld.util.conf.ConfigurationManager,instance,getInstance()Lorg/jmeld/util/conf/ConfigurationManager;,26,26,1,0.0,1.0,0.9999999999999998,1.0000000000000002,MS,org.jmeld.util.conf,org.jmeld.util.conf.ConfigurationManager,org.jmeld.util.conf.ConfigurationManager.getInstance,0.47986549273509566,0.47986549273509577
M,V,REFLC_REFLECTION_MAY_INCREASE_ACCESSIBILITY_OF_CLASS,org.jmeld.util.conf.ConfigurationManager,NO_FIELD,get(Ljava/lang/Class;)Lorg/jmeld/util/conf/AbstractConfiguration;,65,65,1,0.0,1.0,1.0,1.0000000000000002,REFLC,org.jmeld.util.conf,org.jmeld.util.conf.ConfigurationManager,org.jmeld.util.conf.ConfigurationManager.get,0.47986549273509566,0.47986549273509577
M,V,EI_EXPOSE_REP2,org.jmeld.ui.UINode,diffNode,<init>(ILorg/jmeld/util/node/JMDiffNode;)V,24,24,0,0.0,1.0,1.0,1.0,EI2,org.jmeld.ui,org.jmeld.ui.UINode,org.jmeld.ui.UINode.<init>,0.38353938599685783,0.38353938599685783
M,D,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,org.jmeld.JMeld,jmeldPanel,run()V,52,52,1,0.0,1.0,1.0000000000000002,1.0000000000000002,ST,org.jmeld,org.jmeld.JMeld,org.jmeld.JMeld.run,0.3604210482906512,0.36042104829065125
M,V,EI_EXPOSE_REP,org.jmeld.ui.UINode,children,getChildren()Ljava/util/List;,64,64,0,0.0,1.0,1.0000000000000002,1.0000000000000002,EI,org.jmeld.ui,org.jmeld.ui.UINode,org.jmeld.ui.UINode.getChildren,0.3585411235512472,0.35854112355124723
M,V,EI_EXPOSE_REP,org.jmeld.ui.UINode,diffNode,getDiffNode()Lorg/jmeld/util/node/JMDiffNode;,39,39,0,0.0,1.0,1.0000000000000002,1.0000000000000002,EI,org.jmeld.ui,org.jmeld.ui.UINode,org.jmeld.ui.UINode.getDiffNode,0.3585411235512472,0.35854112355124723
M,V,EI_EXPOSE_REP,org.jmeld.ui.UINode,parent,getParent()Lorg/jmeld/ui/UINode;,92,92,0,0.0,1.0,1.0000000000000002,1.0000000000000002,EI,org.jmeld.ui,org.jmeld.ui.UINode,org.jmeld.ui.UINode.getParent,0.3585411235512472,0.35854112355124723
M,B,EQ_COMPARETO_USE_OBJECT_EQUALS,org.jmeld.ui.UINode,NO_FIELD,compareTo(Lorg/jmeld/ui/UINode;)I,136,136,0,0.0,1.0,1.0,1.0,Eq,org.jmeld.ui,org.jmeld.ui.UINode,org.jmeld.ui.UINode.compareTo,0.3585411235512472,0.3585411235512472
L,D,REC_CATCH_EXCEPTION,org.jmeld.diff.JMDelta,NO_FIELD,createChangeRevision()Lorg/jmeld/diff/JMRevision;,161,161,1,0.0,1.0,1.0,1.0000000000000002,REC,org.jmeld.diff,org.jmeld.diff.JMDelta,org.jmeld.diff.JMDelta.createChangeRevision,0.2750131448719535,0.27501314487195355
L,V,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,org.jmeld.ui.swing.JMHighlightPainter,NO_FIELD,<init>(Ljava/awt/Color;)V,77,77,0,0.0,1.0,1.0,0.9999999999999998,MC,org.jmeld.ui.swing,org.jmeld.ui.swing.JMHighlightPainter,org.jmeld.ui.swing.JMHighlightPainter.<init>,0.26805847663821186,0.2680584766382118
