,method,sum,tp_sum,P@5,P@10,P@15,P@20,P@25,P@30,MAP,MRR,Fitness,Kendell,AUC
0,we_list_0,31,2,40.0,20.0,13.333333333333334,10.0,8.0,6.666666666666667,1.0,1.5,0.5,0.0,0.9596774193548387
1,we_list_1,31,2,40.0,20.0,13.333333333333334,10.0,8.0,6.666666666666667,1.0,1.5,0.5,0.0,0.9596774193548387
2,we_list_2,31,2,40.0,20.0,13.333333333333334,10.0,8.0,6.666666666666667,1.0,1.5,0.5,0.0,0.9596774193548387
3,we_list_3,31,2,40.0,20.0,13.333333333333334,10.0,8.0,6.666666666666667,1.0,1.5,0.5,0.0,0.9596774193548387
4,we_list_4,31,2,40.0,20.0,13.333333333333334,10.0,8.0,6.666666666666667,1.0,1.5,0.5,0.0,0.9596774193548387
5,we_list_5,31,2,40.0,20.0,13.333333333333334,10.0,8.0,6.666666666666667,1.0,1.5,0.5,0.0,0.9596774193548387
6,we_list_6,31,2,40.0,20.0,13.333333333333334,10.0,8.0,6.666666666666667,1.0,1.5,0.5,0.0,0.9596774193548387
7,we_list_7,31,2,40.0,20.0,13.333333333333334,10.0,8.0,6.666666666666667,1.0,1.5,0.5,0.0,0.9596774193548387
8,we_list_8,31,2,40.0,20.0,13.333333333333334,10.0,8.0,6.666666666666667,1.0,1.5,0.5,0.0,0.9596774193548387
9,we_list_9,31,2,40.0,20.0,13.333333333333334,10.0,8.0,6.666666666666667,1.0,1.5,0.5,0.0,0.9596774193548387
10,we_list_10,31,2,40.0,20.0,13.333333333333334,10.0,8.0,6.666666666666667,1.0,1.5,0.5,0.0,0.9596774193548387
