,method,sum,tp_sum,P@5,P@10,P@15,P@20,P@25,P@30,MAP,MRR,Fitness,Kendell,AUC
0,random0,31,2,0.0,10.0,6.666666666666667,10.0,8.0,6.666666666666667,0.10263157894736842,0.15263157894736842,0.3576323002319207,0.05591397849462366,0.5483870967741935
1,random1,31,2,0.0,0.0,0.0,5.0,8.0,6.666666666666667,0.07045454545454546,0.09545454545454546,0.31245048104131296,0.08387096774193549,0.33870967741935487
2,random2,31,2,40.0,20.0,13.333333333333334,10.0,8.0,6.666666666666667,0.3666666666666667,0.5333333333333333,0.47311827956989244,0.01075268817204301,0.8870967741935485
3,random3,31,2,0.0,0.0,6.666666666666667,5.0,8.0,6.666666666666667,0.08545454545454545,0.13090909090909092,0.32183263207106116,0.07096774193548387,0.43548387096774194
4,random4,31,2,20.0,10.0,6.666666666666667,10.0,8.0,6.666666666666667,0.5555555555555556,1.0555555555555556,0.39986559139784944,0.034408602150537634,0.7016129032258065
5,random5,31,2,0.0,0.0,6.666666666666667,10.0,8.0,6.666666666666667,0.09545454545454546,0.14090909090909093,0.34910394265232975,0.06021505376344086,0.5161290322580645
6,random6,31,2,20.0,10.0,13.333333333333334,10.0,8.0,6.666666666666667,0.3269230769230769,0.5769230769230769,0.44110459433040083,0.025806451612903226,0.7741935483870968
7,random7,31,2,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.05371352785145889,0.07294429708222812,0.25786140979689365,0.11182795698924732,0.12903225806451615
8,random8,31,2,0.0,10.0,6.666666666666667,5.0,8.0,6.666666666666667,0.10416666666666666,0.16666666666666666,0.33671973188102217,0.06236559139784946,0.5
9,random9,31,2,0.0,0.0,0.0,0.0,4.0,6.666666666666667,0.05929487179487179,0.08012820512820512,0.2796283309957925,0.1010752688172043,0.20967741935483872
