M,V,EI_EXPOSE_REP,com.helger.as2.cmdprocessor.AbstractCommandProcessor,m_aAttrs,attrs()Lcom/helger/commons/collection/attr/StringMap;,66,66,0
H,D,NP_METHOD_RETURN_RELAXING_ANNOTATION,com.helger.as2.cmd.AbstractCommand,NO_FIELD,getName()Ljava/lang/String;,77,77,0
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmd.BaseCommandRegistry,NO_FIELD,NO_METHOD,46,69,0
M,V,EI_EXPOSE_REP,com.helger.as2.util.FileMonitor,m_aListeners,getListeners()Lcom/helger/commons/collection/impl/ICommonsList;,125,125,0
M,V,EI_EXPOSE_REP2,com.helger.as2.util.FileMonitor,m_aListeners,setListeners(Lcom/helger/commons/collection/impl/ICommonsList;)V,117,117,0
L,D,ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,com.helger.as2.util.FileMonitor,NO_FIELD,start()V,142,142,1
L,V,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,com.helger.as2.util.FileMonitor,NO_FIELD,<init>(Ljava/io/File;I)V,61,61,0
L,V,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,com.helger.as2.util.FileMonitor,NO_FIELD,<init>(Ljava/io/File;I)V,61,61,0
M,V,EI_EXPOSE_REP2,com.helger.as2.app.cert.ServerCertificateFactory,m_aFileMonitor,setFileMonitor(Lcom/helger/as2/util/FileMonitor;)V,66,66,0
M,V,EI_EXPOSE_REP,com.helger.as2.app.cert.ServerCertificateFactory,m_aFileMonitor,getFileMonitor()Lcom/helger/as2/util/FileMonitor;,89,89,0
M,D,SF_SWITCH_NO_DEFAULT,com.helger.as2.app.cert.ServerCertificateFactory,NO_FIELD,onFileMonitorEvent(Lcom/helger/as2/util/FileMonitor;Ljava/io/File;Lcom/helger/as2/util/EFileMonitorEvent;)V,94,105,0
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.app.cert.ServerCertificateFactory,NO_FIELD,NO_METHOD,50,122,0
M,B,SE_BAD_FIELD,com.helger.as2.app.cert.ServerCertificateFactory,m_aFileMonitor,NO_METHOD,-1,-1,0
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.app.cert.ServerPKCS12CertificateFactory,NO_FIELD,NO_METHOD,44,52,0
M,V,MS_EXPOSE_REP,com.helger.as2.cmd.CommandManager,s_aDefaultManager,getCmdManager()Lcom/helger/as2/cmd/CommandManager;,57,57,0
M,V,EI_EXPOSE_REP2,com.helger.as2.cmd.CommandManager,m_aProcessors,setProcessors(Lcom/helger/commons/collection/impl/ICommonsList;)V,62,62,0
M,V,EI_EXPOSE_REP,com.helger.as2.cmd.CommandManager,m_aProcessors,getProcessors()Lcom/helger/commons/collection/impl/ICommonsList;,69,69,0
L,M,LI_LAZY_INIT_STATIC,com.helger.as2.cmd.CommandManager,s_aDefaultManager,getCmdManager()Lcom/helger/as2/cmd/CommandManager;,55,56,0
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmd.partner.DeletePartnershipCommand,NO_FIELD,NO_METHOD,46,83,0
M,V,EI_EXPOSE_REP,com.helger.as2.app.session.AS2ServerXMLSession,m_aCmdManager,getCommandManager()Lcom/helger/as2/cmd/CommandManager;,106,106,0
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.app.session.AS2ServerXMLSession,NO_FIELD,NO_METHOD,80,225,0
M,B,SE_BAD_FIELD,com.helger.as2.app.session.AS2ServerXMLSession,m_aCmdManager,NO_METHOD,-1,-1,0
M,V,EI_EXPOSE_REP,com.helger.as2.cmd.MultiCommand,m_aCmds,getCommands()Lcom/helger/commons/collection/impl/ICommonsList;,77,77,0
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmd.MultiCommand,NO_FIELD,NO_METHOD,47,142,0
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmd.XMLCommandRegistry,NO_FIELD,NO_METHOD,51,126,0
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmd.cert.ImportCertInEncodedStreamCommand,NO_FIELD,NO_METHOD,48,112,0
H,I,DM_DEFAULT_ENCODING,com.helger.as2.cmd.cert.ImportCertInEncodedStreamCommand,NO_FIELD,_importCert(Lcom/helger/as2lib/cert/IAliasedCertificateFactory;Ljava/lang/String;Ljava/lang/String;)Lcom/helger/as2/cmd/CommandResult;,93,93,0
L,I,DM_CONVERT_CASE,com.helger.as2.cmdprocessor.SocketCommandProcessor,NO_FIELD,processCommand()V,187,187,0
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmdprocessor.SocketCommandProcessor,NO_FIELD,NO_METHOD,86,248,1
M,B,SE_BAD_FIELD,com.helger.as2.cmdprocessor.SocketCommandProcessor,m_aReader,NO_METHOD,-1,-1,0
M,B,SE_BAD_FIELD,com.helger.as2.cmdprocessor.SocketCommandProcessor,m_aWriter,NO_METHOD,-1,-1,0
L,B,SE_BAD_FIELD,com.helger.as2.cmdprocessor.SocketCommandProcessor,m_aSSLServerSocket,NO_METHOD,-1,-1,0
M,B,SE_BAD_FIELD,com.helger.as2.cmdprocessor.SocketCommandProcessor,m_aParser,NO_METHOD,-1,-1,0
L,D,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,com.helger.as2.cmdprocessor.SocketCommandProcessor,NO_FIELD,initDynamicComponent(Lcom/helger/as2lib/session/IAS2Session;Lcom/helger/commons/collection/attr/IStringMap;)V,123,123,0
L,D,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,com.helger.as2.cmdprocessor.SocketCommandProcessor,NO_FIELD,processCommand()V,158,158,0
H,I,DM_DEFAULT_ENCODING,com.helger.as2.cmdprocessor.SocketCommandProcessor,NO_FIELD,processCommand()V,162,162,0
H,I,DM_DEFAULT_ENCODING,com.helger.as2.cmdprocessor.SocketCommandProcessor,NO_FIELD,processCommand()V,161,161,0
M,V,EI_EXPOSE_REP,com.helger.as2.cmdprocessor.StreamCommandProcessor,m_aWriter,getWriter()Ljava/io/BufferedWriter;,93,93,0
L,B,SE_NO_SERIALVERSIONID,com.helger.as2.cmdprocessor.StreamCommandProcessor,NO_FIELD,NO_METHOD,75,193,0
M,B,SE_BAD_FIELD,com.helger.as2.cmdprocessor.StreamCommandProcessor,m_aReader,NO_METHOD,-1,-1,0
