M,V,MS_EXPOSE_REP,org.jmeld.vc.VersionControlUtil,versionControlList,getVersionControlList()Ljava/util/List;,47,47,0
H,M,LI_LAZY_INIT_UPDATE_STATIC,org.jmeld.vc.VersionControlUtil,versionControlList,getVersionControlList()Ljava/util/List;,39,40,0
M,V,EI_EXPOSE_REP2,org.jmeld.diff.JMRevision,orgArray,<init>([Ljava/lang/Object;[Ljava/lang/Object;)V,36,36,0
M,V,EI_EXPOSE_REP2,org.jmeld.diff.JMRevision,revArray,<init>([Ljava/lang/Object;[Ljava/lang/Object;)V,37,37,0
M,V,EI_EXPOSE_REP2,org.jmeld.diff.JMRevision,revArray,update([Ljava/lang/Object;[Ljava/lang/Object;)V,63,63,0
M,V,EI_EXPOSE_REP,org.jmeld.diff.JMRevision,deltaList,getDeltas()Ljava/util/List;,57,57,0
M,V,EI_EXPOSE_REP2,org.jmeld.diff.JMRevision,orgArray,update([Ljava/lang/Object;[Ljava/lang/Object;)V,62,62,0
L,P,UPM_UNCALLED_PRIVATE_METHOD,org.jmeld.diff.JMRevision,NO_FIELD,insert(Lorg/jmeld/diff/JMDelta;)V,267,281,0
L,P,UPM_UNCALLED_PRIVATE_METHOD,org.jmeld.diff.JMRevision,NO_FIELD,findDelta(ZII)Lorg/jmeld/diff/JMDelta;,287,304,0
M,V,EI_EXPOSE_REP2,org.jmeld.ui.swing.table.JMTableModel$Column,this$0,<init>(Lorg/jmeld/ui/swing/table/JMTableModel;Ljava/lang/String;ILjava/lang/String;Ljava/lang/String;Ljava/lang/Class;IZ)V,165,165,0
M,V,EI_EXPOSE_REP,org.jmeld.vc.svn.LogData,entryList,getEntryList()Ljava/util/List;,37,37,0
L,P,DM_STRING_TOSTRING,org.jmeld.util.Result,NO_FIELD,getDescription()Ljava/lang/String;,62,62,0
M,V,EI_EXPOSE_REP,org.jmeld.util.Result,exception,getException()Ljava/lang/Exception;,72,72,0
M,B,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,org.jdesktop.swingworker.SwingWorker$1,NO_FIELD,call()Ljava/lang/Object;,275,276,0
M,C,NP_NULL_ON_SOME_PATH,org.jmeld.diff.EclipseDiff$RangeComparator,NO_FIELD,rangesEqual(ILorg/eclipse/compare/rangedifferencer/IRangeComparator;I)Z,104,104,0
M,V,EI_EXPOSE_REP2,org.jmeld.util.conf.AbstractConfigurationElement,configuration,init(Lorg/jmeld/util/conf/AbstractConfiguration;)V,13,13,0
L,B,SE_BAD_FIELD,org.jmeld.ui.DefaultContextMenu,clipboard,NO_METHOD,-1,-1,0
L,M,LI_LAZY_INIT_STATIC,org.jmeld.util.RegexUtil,whiteSpacePattern,getWhitespacePattern()Ljava/util/regex/Pattern;,17,19,0
L,D,RI_REDUNDANT_INTERFACES,org.jmeld.ui.AbstractContentPanel$MyUndoManager,NO_FIELD,NO_METHOD,169,209,0
M,B,VA_FORMAT_STRING_USES_NEWLINE,org.jmeld.util.UIDefaultsPrint,NO_FIELD,main([Ljava/lang/String;)V,42,42,0
L,D,REC_CATCH_EXCEPTION,org.jmeld.util.UIDefaultsPrint,NO_FIELD,main([Ljava/lang/String;)V,45,45,0
M,V,EI_EXPOSE_REP,org.jmeld.vc.BaseFile,byteArray,getByteArray()[B,21,21,0
M,V,EI_EXPOSE_REP2,org.jmeld.vc.BaseFile,byteArray,<init>([B)V,11,11,0
H,B,DMI_RANDOM_USED_ONLY_ONCE,org.apache.commons.jrcs.diff.Diff,NO_FIELD,randomEdit([Ljava/lang/Object;J)[Ljava/lang/Object;,283,283,0
H,B,DMI_RANDOM_USED_ONLY_ONCE,org.apache.commons.jrcs.diff.Diff,NO_FIELD,randomEdit([Ljava/lang/Object;J)[Ljava/lang/Object;,287,287,1
H,B,DMI_RANDOM_USED_ONLY_ONCE,org.apache.commons.jrcs.diff.Diff,NO_FIELD,randomSequence(IJ)[Ljava/lang/Object;,354,354,0
M,P,DM_NUMBER_CTOR,org.apache.commons.jrcs.diff.Diff,NO_FIELD,randomSequence(IJ)[Ljava/lang/Object;,354,354,0
M,V,EI_EXPOSE_REP2,org.apache.commons.jrcs.diff.Diff,orig,<init>([Ljava/lang/Object;Lorg/apache/commons/jrcs/diff/DiffAlgorithm;)V,136,136,0
L,V,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,org.apache.commons.jrcs.diff.Diff,NO_FIELD,<init>([Ljava/lang/Object;Lorg/apache/commons/jrcs/diff/DiffAlgorithm;)V,143,143,1
M,V,EI_EXPOSE_REP2,org.jmeld.ui.swing.table.JMTreeTableModel$Column,this$0,<init>(Lorg/jmeld/ui/swing/table/JMTreeTableModel;Ljava/lang/String;ILjava/lang/String;Ljava/lang/String;Ljava/lang/Class;IZ)V,118,118,0
M,V,EI_EXPOSE_REP,org.jmeld.vc.util.VcCmd,result,getResult()Lorg/jmeld/util/Result;,101,101,0
L,B,OS_OPEN_STREAM_EXCEPTION_PATH,org.jmeld.vc.util.VcCmd,NO_FIELD,_execute([Ljava/lang/String;)Lorg/jmeld/util/Result;,61,61,0
L,B,OS_OPEN_STREAM_EXCEPTION_PATH,org.jmeld.vc.util.VcCmd,NO_FIELD,_execute([Ljava/lang/String;)Lorg/jmeld/util/Result;,72,72,0
M,D,REC_CATCH_EXCEPTION,org.jmeld.vc.util.VcCmd,NO_FIELD,_execute([Ljava/lang/String;)Lorg/jmeld/util/Result;,83,83,0
H,I,DM_DEFAULT_ENCODING,org.jmeld.vc.util.VcCmd,NO_FIELD,_execute([Ljava/lang/String;)Lorg/jmeld/util/Result;,72,72,0
M,V,EI_EXPOSE_REP2,org.jmeld.ui.AbstractBarDialog,meldPanel,<init>(Lorg/jmeld/ui/JMeldPanel;)V,29,29,0
L,V,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,org.jmeld.ui.AbstractBarDialog,NO_FIELD,<init>(Lorg/jmeld/ui/JMeldPanel;)V,31,31,0
M,V,EI_EXPOSE_REP,org.jmeld.ui.util.TabExitEvent,tabIcon,getTabIcon()Lorg/jmeld/ui/util/TabIcon;,32,32,0
M,V,EI_EXPOSE_REP2,org.jmeld.ui.util.TabExitEvent,tabIcon,<init>(Lorg/jmeld/ui/util/TabIcon;I)V,26,26,0
M,V,MS_EXPOSE_REP,org.jmeld.ui.StatusBar,instance,getInstance()Lorg/jmeld/ui/StatusBar;,53,53,0
L,V,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,org.jmeld.ui.swing.DetailHeader,NO_FIELD,<init>()V,11,11,0
M,V,EI_EXPOSE_REP,org.jmeld.vc.svn.BlameData,targetList,getTargetList()Ljava/util/List;,40,40,0
M,B,RC_REF_COMPARISON_BAD_PRACTICE_BOOLEAN,org.jmeld.util.WeakHashSet,value,remove(Ljava/lang/Object;)Z,60,60,0
L,D,RI_REDUNDANT_INTERFACES,org.jmeld.util.WeakHashSet,NO_FIELD,NO_METHOD,9,66,0
M,B,NP_EQUALS_SHOULD_HANDLE_NULL_ARGUMENT,org.jmeld.diff.JMDiff$JMString,NO_FIELD,equals(Ljava/lang/Object;)Z,282,282,0
M,B,BC_EQUALS_METHOD_SHOULD_WORK_FOR_ALL_OBJECTS,org.jmeld.diff.JMDiff$JMString,NO_FIELD,equals(Ljava/lang/Object;)Z,282,282,0
M,D,DLS_DEAD_LOCAL_STORE,org.jmeld.ui.swing.JMHighlightLinePainter,NO_FIELD,paint(Ljava/awt/Graphics;IILjava/awt/Shape;Ljavax/swing/text/JTextComponent;)V,50,50,0
M,V,EI_EXPOSE_REP2,org.jmeld.ui.help.HelpPanel,mainPanel,<init>(Lorg/jmeld/ui/JMeldPanel;)V,24,24,0
M,V,EI_EXPOSE_REP2,org.jmeld.ui.Option,mainPanel,<init>(Lorg/jmeld/ui/JMeldPanel;Z)V,13,13,0
L,B,SE_BAD_FIELD,org.jmeld.ui.swing.BusyLabel,icon,NO_METHOD,-1,-1,0
M,V,EI_EXPOSE_REP,org.jmeld.vc.svn.InfoData,entryList,getEntryList()Ljava/util/List;,37,37,0
H,B,HE_EQUALS_USE_HASHCODE,org.eclipse.compare.rangedifferencer.RangeDifference,NO_FIELD,equals(Ljava/lang/Object;)Z,228,238,0
M,D,SF_SWITCH_NO_DEFAULT,org.jmeld.ui.swing.BusyLabel$BusyIcon,NO_FIELD,paintIcon(Ljava/awt/Component;Ljava/awt/Graphics;II)V,143,183,0
M,V,EI_EXPOSE_REP,org.apache.commons.jrcs.diff.Chunk,chunk,chunk()Ljava/util/List;,199,199,0
L,B,SE_BAD_FIELD,org.jmeld.ui.tree.JMChunkNode,chunk,NO_METHOD,-1,-1,0
M,B,EQ_COMPARETO_USE_OBJECT_EQUALS,org.apache.jmeld.tools.ant.types.Resource,NO_FIELD,compareTo(Ljava/lang/Object;)I,239,245,0
L,V,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,org.jmeld.util.StopWatch,NO_FIELD,<init>()V,27,27,0
M,V,EI_EXPOSE_REP,org.jdesktop.swingworker.SwingWorker,propertyChangeSupport,getPropertyChangeSupport()Ljava/beans/PropertyChangeSupport;,677,677,0
M,B,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,org.jdesktop.swingworker.SwingWorker,NO_FIELD,doInBackground()Ljava/lang/Object;,-1,-1,0
M,B,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,org.jmeld.util.file.cmd.AbstractCmd,NO_FIELD,execute()V,22,35,0
M,B,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,org.jmeld.util.file.cmd.AbstractCmd,NO_FIELD,createCommands()V,-1,-1,0
M,B,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,org.jmeld.util.file.cmd.AbstractCmd$Command,NO_FIELD,execute()V,-1,-1,0
L,V,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,org.jmeld.ui.ListScrollSynchronizer,NO_FIELD,<init>(Ljavax/swing/JScrollPane;Ljavax/swing/JScrollPane;)V,34,34,0
M,B,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,org.jmeld.util.file.cmd.CopyFileCmd$ResetCommand,NO_FIELD,execute()V,180,181,0
L,B,OS_OPEN_STREAM_EXCEPTION_PATH,org.jmeld.util.file.FileUtil,NO_FIELD,copy2(Ljava/io/File;Ljava/io/File;)V,48,48,0
L,B,OS_OPEN_STREAM_EXCEPTION_PATH,org.jmeld.util.file.FileUtil,NO_FIELD,copy2(Ljava/io/File;Ljava/io/File;)V,47,47,0
M,X,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,org.jmeld.util.file.FileUtil,NO_FIELD,copy2(Ljava/io/File;Ljava/io/File;)V,47,47,0
M,X,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,org.jmeld.util.file.FileUtil,NO_FIELD,copy2(Ljava/io/File;Ljava/io/File;)V,48,48,0
M,B,VA_FORMAT_STRING_USES_NEWLINE,org.jmeld.ui.text.AbstractBufferDocument$Line,NO_FIELD,print()V,386,386,0
H,B,HE_EQUALS_USE_HASHCODE,org.jmeld.diff.JMChunk,NO_FIELD,equals(Ljava/lang/Object;)Z,54,61,0
M,V,EI_EXPOSE_REP2,org.jmeld.ui.text.JMDocumentEvent,document,<init>(Lorg/jmeld/ui/text/AbstractBufferDocument;)V,14,14,0
M,V,EI_EXPOSE_REP,org.jmeld.ui.text.JMDocumentEvent,document,getDocument()Lorg/jmeld/ui/text/AbstractBufferDocument;,26,26,0
H,B,HE_EQUALS_USE_HASHCODE,org.jmeld.ui.search.SearchHit,NO_FIELD,equals(Ljava/lang/Object;)Z,58,65,0
H,P,DM_BOXED_PRIMITIVE_FOR_PARSING,org.jmeld.ui.bar.LineNumberBarDialog$1,NO_FIELD,keyReleased(Ljava/awt/event/KeyEvent;)V,70,70,0
L,B,SE_NO_SERIALVERSIONID,org.jdesktop.swingworker.SwingWorker$SwingWorkerPropertyChangeSupport,NO_FIELD,NO_METHOD,884,900,0
M,V,EI_EXPOSE_REP,org.jmeld.vc.svn.StatusData,targetList,getTargetList()Ljava/util/List;,39,39,0
M,V,EI_EXPOSE_REP2,org.apache.jmeld.tools.ant.BuildException,cause,<init>(Ljava/lang/Throwable;)V,75,75,0
M,V,EI_EXPOSE_REP,org.apache.jmeld.tools.ant.BuildException,cause,getException()Ljava/lang/Throwable;,86,86,0
M,V,EI_EXPOSE_REP2,org.apache.jmeld.tools.ant.BuildException,cause,<init>(Ljava/lang/String;Ljava/lang/Throwable;)V,63,63,0
L,B,OS_OPEN_STREAM_EXCEPTION_PATH,org.jmeld.util.JaxbPersister,NO_FIELD,save(Ljava/lang/Object;Ljava/io/File;)V,56,56,0
M,X,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,org.jmeld.util.JaxbPersister,NO_FIELD,save(Ljava/lang/Object;Ljava/io/File;)V,56,56,0
M,X,OBL_UNSATISFIED_OBLIGATION,org.jmeld.util.JaxbPersister,NO_FIELD,load(Ljava/lang/Class;Ljava/io/File;)Ljava/lang/Object;,30,30,0
H,I,DM_DEFAULT_ENCODING,org.jmeld.util.JaxbPersister,NO_FIELD,save(Ljava/lang/Object;Ljava/io/OutputStream;)V,69,69,0
L,V,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,org.jmeld.ui.swing.table.JMTable,NO_FIELD,<init>()V,27,27,0
H,B,HE_EQUALS_USE_HASHCODE,org.jmeld.diff.JMDelta,NO_FIELD,equals(Ljava/lang/Object;)Z,182,195,0
M,V,EI_EXPOSE_REP,org.jmeld.diff.JMDelta,original,getOriginal()Lorg/jmeld/diff/JMChunk;,46,46,0
M,V,EI_EXPOSE_REP2,org.jmeld.diff.JMDelta,original,<init>(Lorg/jmeld/diff/JMChunk;Lorg/jmeld/diff/JMChunk;)V,35,35,0
M,V,EI_EXPOSE_REP,org.jmeld.diff.JMDelta,revised,getRevised()Lorg/jmeld/diff/JMChunk;,50,50,0
M,V,EI_EXPOSE_REP,org.jmeld.diff.JMDelta,changeRevision,getChangeRevision()Lorg/jmeld/diff/JMRevision;,74,74,0
M,V,EI_EXPOSE_REP2,org.jmeld.diff.JMDelta,revised,<init>(Lorg/jmeld/diff/JMChunk;Lorg/jmeld/diff/JMChunk;)V,36,36,0
